,Hisse,Getiri %,İşlem,Kazanan,Win Rate %,Sharpe,Max DD %,Son Sermaye
3,ASELS,91.86,2,2,100,2.11,-16.92,191855.12
10,ENJSA,80.35,1,1,100,2.692,-14.2,180351.8
42,TUPRS,56.73,2,2,100,2.014,-13.87,156732.53
4,ASTOR,55.72,2,0,0,1.631,-25.99,155720.21
43,VAKBN,44.62,2,2,100,1.517,-15.74,144617.38
5,BRSAN,38.55,3,2,66.7,1.167,-22.19,138545.5
31,SASA,38.18,1,1,100,1.405,-15.14,138180
16,GUBRF,35.66,1,0,0,1.247,-20.65,135659.75
0,AKBNK,35.63,2,2,100,1.292,-14.84,135634.4
13,FROTO,31.94,2,2,100,1.66,-17.92,131936.63
9,EKGYO,25.71,2,2,100,0.921,-17.69,125707.27
26,MGROS,20.61,2,1,50,1.016,-17.2,120611.57
6,CWENE,20.17,2,2,100,0.779,-19.36,120173.26
18,HALKB,16.97,3,2,66.7,0.656,-24.2,116971.01
30,SAHOL,15.99,2,2,100,0.788,-14.15,115993.6
35,TAVHL,15.7,2,1,50,0.792,-15.16,115703.2
21,ISGYO,15.12,2,1,50,0.833,-14.54,115119.45
14,GARAN,14.94,2,2,100,0.649,-17.4,114940.6
29,PETKM,14.21,1,1,100,0.75,-18.16,114212.42
37,THYAO,13.88,2,2,100,0.897,-13.02,113884.76
34,SOKM,12.25,2,2,100,0.79,-14.08,112245.97
32,SISE,12.21,3,2,66.7,0.598,-24.95,112210.38
41,TTKOM,12.08,1,1,100,0.928,-13.78,112083.7
39,TOASO,12.03,3,2,66.7,0.608,-20.51,112026.95
1,ALARK,11.42,2,2,100,0.705,-12.51,111415.3
20,ISCTR,9.87,3,2,66.7,0.49,-30.65,109866.56
11,EREGL,5.29,2,1,50,0.367,-14.8,105287.4
36,TCELL,2.39,2,1,50,0.237,-14.76,102391.6
12,EUPWR,1.7,3,1,33.3,0.227,-32.78,101695.16
7,DOAS,1.19,2,1,50,0.165,-15.76,101191.6
44,YKBNK,0.16,3,2,66.7,0.163,-27.34,100162.79
15,GESAN,-2.12,3,2,66.7,0.087,-23.15,97881.31
23,KCHOL,-4.04,3,1,33.3,-0.125,-25.08,95956.69
27,ODAS,-4.45,2,0,0,-0.121,-22.86,95551.65
17,GWIND,-5.71,2,0,0,-0.136,-23.26,94289.12
19,HEKTS,-6.09,3,1,33.3,-0.12,-37.01,93909.48
28,OYAKC,-6.78,3,1,33.3,-0.292,-18.46,93219.71
45,ZOREN,-7.4,3,1,33.3,-0.197,-31.43,92602.45
2,ARCLK,-8.49,3,1,33.3,-0.408,-25.7,91507.2
25,KRDMD,-11.61,3,1,33.3,-0.327,-39.32,88391.05
22,ISMEN,-15.83,3,0,0,-0.762,-23.91,84167.96
40,TSKB,-17.5,2,0,0,-0.857,-25.15,82496.4
38,TKFEN,-18.21,2,1,50,-0.726,-22.51,81789.74
8,EGEEN,-19.52,3,0,0,-1.163,-25.83,80480
33,SMRTG,-41.49,4,0,0,-2.728,-45.52,58505.25
24,KONTR,-58.63,4,0,0,-1.368,-65.44,41374.68
